7-111-R.toTranscriptome.sort	7-7-R.toTranscriptome.sort
ENSMUST00000031160	ENSMUST00000029170
ENSMUST00000030905	ENSMUST00000002818
ENSMUST00000044021	ENSMUST00000030724
ENSMUST00000051605	ENSMUST00000087951
ENSMUST00000116437	ENSMUST00000205276
ENSMUST00000028911	ENSMUST00000028336
ENSMUST00000020820	ENSMUST00000022720
ENSMUST00000029881	ENSMUST00000023426
ENSMUST00000096575	ENSMUST00000109689
ENSMUST00000090227	ENSMUST00000027940
ENSMUST00000119576	ENSMUST00000106486
ENSMUST00000075941	ENSMUST00000181645
ENSMUST00000105571	ENSMUST00000025078
ENSMUST00000043760	ENSMUST00000052296
ENSMUST00000007266	ENSMUST00000020382
ENSMUST00000001927	ENSMUST00000032839
ENSMUST00000166543	ENSMUST00000046770
ENSMUST00000022908	ENSMUST00000106925
ENSMUST00000072961	ENSMUST00000105907
ENSMUST00000005975	ENSMUST00000027688
ENSMUST00000166658	ENSMUST00000115077
ENSMUST00000031556	ENSMUST00000215740
ENSMUST00000087933	ENSMUST00000025142
ENSMUST00000070524	ENSMUST00000031597
ENSMUST00000059295	ENSMUST00000047429
ENSMUST00000022927	ENSMUST00000212781
ENSMUST00000010807	ENSMUST00000035227
ENSMUST00000089497	ENSMUST00000009679
ENSMUST00000027198	ENSMUST00000117507
ENSMUST00000190341	ENSMUST00000129456
ENSMUST00000066134	ENSMUST00000102886
ENSMUST00000071169	ENSMUST00000096430
ENSMUST00000057410	ENSMUST00000190378
ENSMUST00000016681	ENSMUST00000109958
ENSMUST00000090750	ENSMUST00000143441
ENSMUST00000027697	ENSMUST00000027741
ENSMUST00000004094	ENSMUST00000118160
ENSMUST00000102769	ENSMUST00000072744
ENSMUST00000030491	ENSMUST00000023759
ENSMUST00000020283	ENSMUST00000074370
ENSMUST00000035154	ENSMUST00000033597
ENSMUST00000047615	ENSMUST00000000590
ENSMUST00000030795	ENSMUST00000053926
ENSMUST00000199079	ENSMUST00000106858
ENSMUST00000020317	ENSMUST00000053063
ENSMUST00000055704	ENSMUST00000043604
ENSMUST00000045011	ENSMUST00000058326
ENSMUST00000113533	ENSMUST00000162460
ENSMUST00000026142	ENSMUST00000161515
ENSMUST00000048096	ENSMUST00000031399
ENSMUST00000123594	ENSMUST00000171247
ENSMUST00000041264	ENSMUST00000005592
ENSMUST00000102672	ENSMUST00000102501
ENSMUST00000032480	ENSMUST00000047131
ENSMUST00000001002	ENSMUST00000106657
ENSMUST00000002677	ENSMUST00000117654
ENSMUST00000022218	ENSMUST00000075558
ENSMUST00000122358	ENSMUST00000167242
ENSMUST00000020289	ENSMUST00000058137
ENSMUST00000172272	ENSMUST00000078459
ENSMUST00000060991	ENSMUST00000145903
ENSMUST00000100052	ENSMUST00000039442
ENSMUST00000036355	ENSMUST00000089765
ENSMUST00000054697	ENSMUST00000007005
ENSMUST00000051100	ENSMUST00000033824
ENSMUST00000027800	ENSMUST00000023666
ENSMUST00000030751	ENSMUST00000035597
ENSMUST00000044681	ENSMUST00000020922
ENSMUST00000079735	ENSMUST00000046951
ENSMUST00000108901	ENSMUST00000020904
ENSMUST00000023099	ENSMUST00000034206
ENSMUST00000001079	ENSMUST00000041725
ENSMUST00000024887	ENSMUST00000027103
ENSMUST00000021114	ENSMUST00000009435
ENSMUST00000021803	ENSMUST00000108061
ENSMUST00000046548	ENSMUST00000098924
ENSMUST00000169513	ENSMUST00000079324
ENSMUST00000018744	ENSMUST00000052185
ENSMUST00000205871	ENSMUST00000034074
ENSMUST00000092915	ENSMUST00000153128
ENSMUST00000024260	ENSMUST00000115721
ENSMUST00000006235	ENSMUST00000036977
ENSMUST00000048781	ENSMUST00000033018
ENSMUST00000040717	ENSMUST00000049167
ENSMUST00000045376	ENSMUST00000099858
ENSMUST00000003912	ENSMUST00000095925
ENSMUST00000038014	ENSMUST00000044252
ENSMUST00000025250	ENSMUST00000192937
ENSMUST00000193210	ENSMUST00000084715
ENSMUST00000065373	ENSMUST00000076949
ENSMUST00000190940	ENSMUST00000209525
ENSMUST00000105384	ENSMUST00000087556
ENSMUST00000070181	ENSMUST00000113011
ENSMUST00000030675	ENSMUST00000043169
ENSMUST00000001836	ENSMUST00000147567
ENSMUST00000090046	ENSMUST00000127664
ENSMUST00000034049	ENSMUST00000113710
ENSMUST00000109072	ENSMUST00000025850
ENSMUST00000182709	ENSMUST00000022358
ENSMUST00000108843	ENSMUST00000054979
ENSMUST00000065796	ENSMUST00000030399
ENSMUST00000045807	ENSMUST00000038099
ENSMUST00000129162	ENSMUST00000003038
ENSMUST00000044691	ENSMUST00000034015
ENSMUST00000004134	ENSMUST00000078975
ENSMUST00000066166	ENSMUST00000024885
ENSMUST00000003622	ENSMUST00000059271
ENSMUST00000111694	ENSMUST00000021547
ENSMUST00000072093	ENSMUST00000040445
ENSMUST00000026420	ENSMUST00000029049
ENSMUST00000085383	ENSMUST00000076265
ENSMUST00000038228	ENSMUST00000074807
ENSMUST00000001809	ENSMUST00000034543
ENSMUST00000059644	ENSMUST00000006381
ENSMUST00000066597	ENSMUST00000032497
ENSMUST00000170205	ENSMUST00000040964
ENSMUST00000026122	ENSMUST00000080536
ENSMUST00000170263	ENSMUST00000110817
ENSMUST00000098473	ENSMUST00000049369
ENSMUST00000174078	ENSMUST00000102555
ENSMUST00000025276	ENSMUST00000014220
ENSMUST00000105431	ENSMUST00000101341
ENSMUST00000174510	ENSMUST00000034623
ENSMUST00000106054	ENSMUST00000031170
ENSMUST00000106513	ENSMUST00000179321
ENSMUST00000026735	ENSMUST00000110388
ENSMUST00000074002	ENSMUST00000072383
ENSMUST00000009789	ENSMUST00000079496
ENSMUST00000033040	ENSMUST00000073104
ENSMUST00000020493	ENSMUST00000028341
ENSMUST00000034754	ENSMUST00000166123
ENSMUST00000151689	ENSMUST00000168134
ENSMUST00000065286	ENSMUST00000018985
ENSMUST00000025515	ENSMUST00000106305
ENSMUST00000043378	ENSMUST00000156816
ENSMUST00000184183	ENSMUST00000043610
ENSMUST00000021380	ENSMUST00000128258
ENSMUST00000000985	ENSMUST00000040915
ENSMUST00000044113	ENSMUST00000163717
ENSMUST00000124992	ENSMUST00000109961
ENSMUST00000092720	ENSMUST00000092500
ENSMUST00000002914	ENSMUST00000108293
ENSMUST00000054230	ENSMUST00000020316
ENSMUST00000102875	ENSMUST00000169597
ENSMUST00000165559	ENSMUST00000035721
ENSMUST00000108674	ENSMUST00000108721
ENSMUST00000034090	ENSMUST00000016664
ENSMUST00000022102	ENSMUST00000025295
ENSMUST00000059768	ENSMUST00000163192
ENSMUST00000029053	ENSMUST00000162372
ENSMUST00000045454	ENSMUST00000045644
ENSMUST00000085519	ENSMUST00000025239
ENSMUST00000069552	ENSMUST00000055575
ENSMUST00000104916	ENSMUST00000113119
ENSMUST00000049572	ENSMUST00000047281
ENSMUST00000040914	ENSMUST00000005017
ENSMUST00000034441	ENSMUST00000042601
ENSMUST00000045602	ENSMUST00000001716
ENSMUST00000097649	ENSMUST00000042603
ENSMUST00000003575	ENSMUST00000060223
ENSMUST00000114900	ENSMUST00000020375
ENSMUST00000076070	ENSMUST00000038439
ENSMUST00000108075	ENSMUST00000148960
ENSMUST00000105283	ENSMUST00000020209
ENSMUST00000024988	ENSMUST00000027533
ENSMUST00000087867	ENSMUST00000029416
ENSMUST00000002303	ENSMUST00000009774
ENSMUST00000020249	ENSMUST00000114299
ENSMUST00000003521	ENSMUST00000021950
ENSMUST00000161318	ENSMUST00000036937
ENSMUST00000035931	ENSMUST00000024748
ENSMUST00000148011	ENSMUST00000002757
ENSMUST00000067530	ENSMUST00000118261
ENSMUST00000055539	ENSMUST00000025728
ENSMUST00000005798	ENSMUST00000066646
ENSMUST00000048937	ENSMUST00000032931
ENSMUST00000022992	ENSMUST00000084968
ENSMUST00000040008	ENSMUST00000005810
ENSMUST00000032165	ENSMUST00000177963
ENSMUST00000111515	ENSMUST00000027414
ENSMUST00000032183	ENSMUST00000045288
ENSMUST00000071325	ENSMUST00000062686
ENSMUST00000164787	ENSMUST00000041282
ENSMUST00000049294	ENSMUST00000045993
ENSMUST00000011450	ENSMUST00000018593
ENSMUST00000002825	ENSMUST00000213645
ENSMUST00000015950	ENSMUST00000034863
ENSMUST00000046963	ENSMUST00000024981
ENSMUST00000099494	ENSMUST00000094815
ENSMUST00000076264	ENSMUST00000085425
ENSMUST00000163492	ENSMUST00000033541
ENSMUST00000009234	ENSMUST00000055389
ENSMUST00000003876	ENSMUST00000039522
ENSMUST00000070345	ENSMUST00000131992
ENSMUST00000020312	ENSMUST00000025745
ENSMUST00000032915	ENSMUST00000091288
ENSMUST00000052138	ENSMUST00000031897
ENSMUST00000106447	ENSMUST00000030747
ENSMUST00000134257	ENSMUST00000153609
ENSMUST00000036111	ENSMUST00000166115
ENSMUST00000034856	ENSMUST00000049242
ENSMUST00000099353	ENSMUST00000162726
ENSMUST00000026699	ENSMUST00000025270
ENSMUST00000029336	ENSMUST00000000010
ENSMUST00000027263	ENSMUST00000021314
ENSMUST00000020463	ENSMUST00000077938
ENSMUST00000024882	ENSMUST00000073149
ENSMUST00000016631	ENSMUST00000167861
ENSMUST00000082094	ENSMUST00000032825
ENSMUST00000102678	ENSMUST00000074058
ENSMUST00000211932	ENSMUST00000034197
ENSMUST00000120187	ENSMUST00000070064
ENSMUST00000043966	ENSMUST00000111610
ENSMUST00000071874	ENSMUST00000030315
ENSMUST00000020930	ENSMUST00000076807
ENSMUST00000070326	ENSMUST00000038383
ENSMUST00000025759	ENSMUST00000132374
ENSMUST00000023612	ENSMUST00000064447
ENSMUST00000079242	ENSMUST00000025241
ENSMUST00000023873	ENSMUST00000107583
ENSMUST00000102967	ENSMUST00000098300
ENSMUST00000001757	ENSMUST00000180086
ENSMUST00000025462	ENSMUST00000065014
ENSMUST00000063414	ENSMUST00000000001
ENSMUST00000036928	ENSMUST00000054835
ENSMUST00000044359	ENSMUST00000125249
ENSMUST00000071642	ENSMUST00000030138
ENSMUST00000052969	ENSMUST00000175693
ENSMUST00000015100	ENSMUST00000034296
ENSMUST00000074352	ENSMUST00000064924
ENSMUST00000081631	ENSMUST00000049271
ENSMUST00000022060	ENSMUST00000172572
ENSMUST00000061755	ENSMUST00000022960
ENSMUST00000034607	ENSMUST00000163584
ENSMUST00000205335	ENSMUST00000144458
ENSMUST00000026050	ENSMUST00000121097
ENSMUST00000033775	ENSMUST00000176540
ENSMUST00000033673	ENSMUST00000166820
ENSMUST00000090811	ENSMUST00000202214
ENSMUST00000200082	ENSMUST00000108593
ENSMUST00000024657	ENSMUST00000044795
ENSMUST00000102561	ENSMUST00000108634
ENSMUST00000170988	ENSMUST00000031590
ENSMUST00000091257	ENSMUST00000135636
ENSMUST00000182666	ENSMUST00000039956
ENSMUST00000163837	ENSMUST00000001092
ENSMUST00000079158	ENSMUST00000021413
ENSMUST00000020403	ENSMUST00000116567
ENSMUST00000070117	ENSMUST00000027252
ENSMUST00000079772	ENSMUST00000112706
ENSMUST00000149359	ENSMUST00000126435
ENSMUST00000030787	ENSMUST00000091560
ENSMUST00000019447	ENSMUST00000084828
ENSMUST00000048788	ENSMUST00000140438
ENSMUST00000029708	ENSMUST00000040538
ENSMUST00000115047	ENSMUST00000032402
ENSMUST00000027432	ENSMUST00000072572
ENSMUST00000163257	ENSMUST00000038677
ENSMUST00000058033	ENSMUST00000114976
ENSMUST00000186017	ENSMUST00000030455
ENSMUST00000038874	ENSMUST00000064395
ENSMUST00000123128	ENSMUST00000094361
ENSMUST00000165999	ENSMUST00000042286
ENSMUST00000025851	ENSMUST00000040826
ENSMUST00000056665	ENSMUST00000171473
ENSMUST00000021347	ENSMUST00000010278
ENSMUST00000038361	ENSMUST00000032994
ENSMUST00000009699	ENSMUST00000022909
ENSMUST00000009058	ENSMUST00000074144
ENSMUST00000048138	ENSMUST00000068947
ENSMUST00000026218	ENSMUST00000159855
ENSMUST00000100309	ENSMUST00000171938
ENSMUST00000025183	ENSMUST00000054471
ENSMUST00000102787	ENSMUST00000110984
ENSMUST00000020513	ENSMUST00000082320
ENSMUST00000090804	ENSMUST00000068133
ENSMUST00000001566	ENSMUST00000164866
ENSMUST00000138502	ENSMUST00000030578
ENSMUST00000076734	ENSMUST00000067386
ENSMUST00000051594	ENSMUST00000033737
ENSMUST00000182898	ENSMUST00000025963
ENSMUST00000127195	ENSMUST00000038551
ENSMUST00000109848	ENSMUST00000072055
ENSMUST00000023352	ENSMUST00000006027
ENSMUST00000151937	ENSMUST00000111432
ENSMUST00000111435	ENSMUST00000091790
ENSMUST00000022791	ENSMUST00000152227
ENSMUST00000039928	ENSMUST00000112295
ENSMUST00000004072	ENSMUST00000030661
ENSMUST00000207296	ENSMUST00000025390
ENSMUST00000054636	ENSMUST00000025246
ENSMUST00000032440	ENSMUST00000112512
ENSMUST00000048418	ENSMUST00000109352
ENSMUST00000093191	ENSMUST00000032561
ENSMUST00000090791	ENSMUST00000014321
ENSMUST00000031351	ENSMUST00000035038
ENSMUST00000147272	ENSMUST00000054565
ENSMUST00000087517	ENSMUST00000124565
ENSMUST00000022577	ENSMUST00000057897
ENSMUST00000003621	ENSMUST00000026565
ENSMUST00000043990	ENSMUST00000112934
ENSMUST00000076349	ENSMUST00000013304
ENSMUST00000025218	ENSMUST00000028004
ENSMUST00000159512	ENSMUST00000018333
ENSMUST00000034947	ENSMUST00000000828
ENSMUST00000027956	ENSMUST00000033920
ENSMUST00000216841	ENSMUST00000073488
ENSMUST00000047510	ENSMUST00000029116
ENSMUST00000057195	ENSMUST00000074208
ENSMUST00000118927	ENSMUST00000071402
ENSMUST00000201948	ENSMUST00000035164
ENSMUST00000066160	ENSMUST00000202361
ENSMUST00000101394	ENSMUST00000015892
ENSMUST00000028825	ENSMUST00000110452
ENSMUST00000042850	ENSMUST00000114668
ENSMUST00000023112	ENSMUST00000034279
ENSMUST00000115104	ENSMUST00000112251
ENSMUST00000106977	ENSMUST00000119154
ENSMUST00000204751	ENSMUST00000113975
ENSMUST00000078691	ENSMUST00000086519
ENSMUST00000037248	ENSMUST00000113332
ENSMUST00000047419	ENSMUST00000130411
ENSMUST00000087864	ENSMUST00000112091
ENSMUST00000042901	ENSMUST00000100403
ENSMUST00000062844	ENSMUST00000068581
ENSMUST00000036229	ENSMUST00000032856
ENSMUST00000003635	ENSMUST00000053177
ENSMUST00000022599	ENSMUST00000020647
ENSMUST00000089017	ENSMUST00000181586
ENSMUST00000167549	ENSMUST00000071739
ENSMUST00000108307	ENSMUST00000052965
ENSMUST00000035766	ENSMUST00000170134
ENSMUST00000110242	ENSMUST00000034138
ENSMUST00000117462	ENSMUST00000028347
ENSMUST00000062674	ENSMUST00000044009
ENSMUST00000020365	ENSMUST00000109734
ENSMUST00000018841	ENSMUST00000050630
ENSMUST00000050555	ENSMUST00000116371
ENSMUST00000061586	ENSMUST00000024742
ENSMUST00000176824	ENSMUST00000026760
ENSMUST00000031005	ENSMUST00000074072
ENSMUST00000039061	ENSMUST00000111230
ENSMUST00000023221	ENSMUST00000117782
ENSMUST00000071926	ENSMUST00000005817
ENSMUST00000033156	ENSMUST00000100487
ENSMUST00000113536	ENSMUST00000042390
ENSMUST00000026328	ENSMUST00000091742
ENSMUST00000029941	ENSMUST00000045372
ENSMUST00000022040	ENSMUST00000107802
ENSMUST00000098857	ENSMUST00000074752
ENSMUST00000020217	ENSMUST00000033634
ENSMUST00000072740	ENSMUST00000022890
ENSMUST00000106098	ENSMUST00000027494
ENSMUST00000023156	ENSMUST00000022082
ENSMUST00000003677	ENSMUST00000022296
ENSMUST00000079534	ENSMUST00000124482
ENSMUST00000050467	ENSMUST00000193404
ENSMUST00000030872	ENSMUST00000160507
ENSMUST00000050611	ENSMUST00000164733
ENSMUST00000005256	ENSMUST00000200097
ENSMUST00000114449	ENSMUST00000098948
ENSMUST00000112940	ENSMUST00000013773
ENSMUST00000102944	ENSMUST00000081291
ENSMUST00000203566	ENSMUST00000007296
ENSMUST00000102923	ENSMUST00000151287
ENSMUST00000028062	ENSMUST00000079125
ENSMUST00000028286	ENSMUST00000038027
ENSMUST00000214470	ENSMUST00000040434
ENSMUST00000037850	ENSMUST00000210005
ENSMUST00000042163	ENSMUST00000039152
ENSMUST00000002837	ENSMUST00000016401
ENSMUST00000001548	ENSMUST00000021940
ENSMUST00000121785	ENSMUST00000036049
ENSMUST00000034226	ENSMUST00000005749
ENSMUST00000100330	ENSMUST00000116621
ENSMUST00000031081	ENSMUST00000034021
ENSMUST00000099546	ENSMUST00000025957
ENSMUST00000001672	ENSMUST00000004097
ENSMUST00000193734	ENSMUST00000099393
ENSMUST00000195681	ENSMUST00000013693
ENSMUST00000034432	ENSMUST00000066984
ENSMUST00000028332	ENSMUST00000034846
ENSMUST00000032143	ENSMUST00000020022
ENSMUST00000079510	ENSMUST00000085673
ENSMUST00000016463	ENSMUST00000030348
ENSMUST00000034228	ENSMUST00000065997
ENSMUST00000062117	ENSMUST00000023268
ENSMUST00000172095	ENSMUST00000021676
ENSMUST00000034702	ENSMUST00000030187
ENSMUST00000102843	ENSMUST00000120122
ENSMUST00000027068	ENSMUST00000177779
ENSMUST00000021530	ENSMUST00000030434
ENSMUST00000023608	ENSMUST00000045682
ENSMUST00000195717	ENSMUST00000025835
ENSMUST00000117706	ENSMUST00000023532
ENSMUST00000001562	ENSMUST00000164812
ENSMUST00000040766	ENSMUST00000073878
ENSMUST00000045748	ENSMUST00000044111
ENSMUST00000034982	ENSMUST00000165665
ENSMUST00000030471	ENSMUST00000107591
ENSMUST00000038128	ENSMUST00000032774
ENSMUST00000047362	ENSMUST00000199808
ENSMUST00000108205	ENSMUST00000068681
ENSMUST00000180037	ENSMUST00000032992
ENSMUST00000031795	ENSMUST00000022287
ENSMUST00000171376	ENSMUST00000026262
ENSMUST00000065353	ENSMUST00000045562
ENSMUST00000023510	ENSMUST00000105813
ENSMUST00000107494	ENSMUST00000186375
ENSMUST00000042147	ENSMUST00000105502
ENSMUST00000040718	ENSMUST00000084527
ENSMUST00000061156	ENSMUST00000091752
ENSMUST00000006856	ENSMUST00000100467
ENSMUST00000007980	ENSMUST00000041759
ENSMUST00000118592	ENSMUST00000023812
ENSMUST00000143400	ENSMUST00000035007
ENSMUST00000176652	ENSMUST00000022727
ENSMUST00000106505	ENSMUST00000052168
ENSMUST00000040912	ENSMUST00000150727
ENSMUST00000169504	ENSMUST00000109627
ENSMUST00000027512	ENSMUST00000107619
ENSMUST00000022816	ENSMUST00000020712
ENSMUST00000020411	ENSMUST00000006137
ENSMUST00000176325	ENSMUST00000042702
ENSMUST00000038563	ENSMUST00000105235
ENSMUST00000053748	ENSMUST00000046399
ENSMUST00000018274	ENSMUST00000026076
ENSMUST00000100647	ENSMUST00000115364
ENSMUST00000113830	ENSMUST00000030556
ENSMUST00000086831	ENSMUST00000069098
ENSMUST00000001812	ENSMUST00000109860
ENSMUST00000108222	ENSMUST00000034796
ENSMUST00000107924	ENSMUST00000114335
ENSMUST00000008517	ENSMUST00000094391
ENSMUST00000102487	ENSMUST00000030993
ENSMUST00000110155	ENSMUST00000007012
ENSMUST00000029316	ENSMUST00000053771
ENSMUST00000001611	ENSMUST00000121759
ENSMUST00000171702	ENSMUST00000107107
ENSMUST00000117831	ENSMUST00000025127
ENSMUST00000135680	ENSMUST00000099396
ENSMUST00000035079	ENSMUST00000112352
ENSMUST00000050104	ENSMUST00000046750
ENSMUST00000130645	ENSMUST00000146258
ENSMUST00000038584	ENSMUST00000100262
ENSMUST00000041059	ENSMUST00000138703
ENSMUST00000032815	ENSMUST00000166972
ENSMUST00000001042	ENSMUST00000026917
ENSMUST00000064883	ENSMUST00000171975
ENSMUST00000108021	ENSMUST00000114410
ENSMUST00000193784	ENSMUST00000079213
ENSMUST00000109367	ENSMUST00000034965
ENSMUST00000095078	ENSMUST00000022053
ENSMUST00000093169	ENSMUST00000038185
ENSMUST00000141112	ENSMUST00000087324
ENSMUST00000071698	ENSMUST00000112532
ENSMUST00000043172	ENSMUST00000167496
ENSMUST00000059647	ENSMUST00000022734
ENSMUST00000101640	ENSMUST00000047768
ENSMUST00000087228	ENSMUST00000123791
ENSMUST00000033544	ENSMUST00000140020
ENSMUST00000111368	ENSMUST00000168185
ENSMUST00000002889	ENSMUST00000195708
ENSMUST00000165971	ENSMUST00000173903
ENSMUST00000079258	ENSMUST00000141118
ENSMUST00000102525	ENSMUST00000045604
ENSMUST00000068301	ENSMUST00000030769
ENSMUST00000069449	ENSMUST00000049151
ENSMUST00000078944	ENSMUST00000066379
ENSMUST00000089027	ENSMUST00000067538
ENSMUST00000020285	ENSMUST00000211765
ENSMUST00000195008	ENSMUST00000156898
ENSMUST00000066257	ENSMUST00000111945
ENSMUST00000028617	ENSMUST00000029769
ENSMUST00000077626	ENSMUST00000019833
ENSMUST00000160027	ENSMUST00000030432
ENSMUST00000048260	ENSMUST00000065515
ENSMUST00000002099	ENSMUST00000034879
ENSMUST00000107172	ENSMUST00000030698
ENSMUST00000102964	ENSMUST00000041317
ENSMUST00000135469	ENSMUST00000164099
ENSMUST00000013737	ENSMUST00000034590
ENSMUST00000027384	ENSMUST00000109221
ENSMUST00000005173	ENSMUST00000079041
ENSMUST00000043962	ENSMUST00000116234
ENSMUST00000033975	ENSMUST00000091672
ENSMUST00000120722	ENSMUST00000022222
ENSMUST00000100844	ENSMUST00000020339
ENSMUST00000210246	ENSMUST00000043531
ENSMUST00000117399	ENSMUST00000084852
ENSMUST00000047864	ENSMUST00000021443
ENSMUST00000001818	ENSMUST00000002445
ENSMUST00000026196	ENSMUST00000052885
ENSMUST00000047404	ENSMUST00000107308
ENSMUST00000042646	ENSMUST00000046520
ENSMUST00000001780	ENSMUST00000032491
ENSMUST00000159124	ENSMUST00000126319
ENSMUST00000035840	ENSMUST00000111657
ENSMUST00000020957	ENSMUST00000079812
ENSMUST00000059270	ENSMUST00000028592
ENSMUST00000168189	ENSMUST00000153838
ENSMUST00000088546	ENSMUST00000098362
ENSMUST00000026661	ENSMUST00000025542
ENSMUST00000025120	ENSMUST00000072735
ENSMUST00000087114	ENSMUST00000085299
ENSMUST00000156440	ENSMUST00000115443
ENSMUST00000031565	ENSMUST00000020308
ENSMUST00000107691	ENSMUST00000005041
ENSMUST00000043624	ENSMUST00000023828
ENSMUST00000115394	ENSMUST00000035606
ENSMUST00000049948	ENSMUST00000087195
ENSMUST00000047273	ENSMUST00000035201
ENSMUST00000162819	ENSMUST00000171795
ENSMUST00000171010	ENSMUST00000061882
ENSMUST00000047875	ENSMUST00000111996
ENSMUST00000064740	ENSMUST00000075724
ENSMUST00000160405	ENSMUST00000098578
ENSMUST00000021843	ENSMUST00000021428
ENSMUST00000038446	ENSMUST00000021738
ENSMUST00000111127	ENSMUST00000029568
ENSMUST00000110907	ENSMUST00000115797
ENSMUST00000035497	ENSMUST00000020023
ENSMUST00000114167	ENSMUST00000030014
ENSMUST00000155487	ENSMUST00000030536
ENSMUST00000163300	ENSMUST00000025243
ENSMUST00000027684	ENSMUST00000006701
ENSMUST00000041772	ENSMUST00000198027
ENSMUST00000121465	ENSMUST00000099489
ENSMUST00000043498	ENSMUST00000029451
ENSMUST00000022751	ENSMUST00000028536
ENSMUST00000110167	ENSMUST00000040111
ENSMUST00000006435	ENSMUST00000039271
ENSMUST00000034058	ENSMUST00000100507
ENSMUST00000037548	ENSMUST00000030538
ENSMUST00000152954	ENSMUST00000075774
ENSMUST00000100001	ENSMUST00000017868
ENSMUST00000106763	ENSMUST00000044373
ENSMUST00000173397	ENSMUST00000003284
ENSMUST00000187504	ENSMUST00000029269
ENSMUST00000035295	ENSMUST00000178875
ENSMUST00000049230	ENSMUST00000033468
ENSMUST00000046644	ENSMUST00000130320
ENSMUST00000171018	ENSMUST00000043517
ENSMUST00000169437	ENSMUST00000014750
ENSMUST00000072727	ENSMUST00000106357
ENSMUST00000031627	ENSMUST00000081435
ENSMUST00000037865	ENSMUST00000084500
ENSMUST00000040721	ENSMUST00000052725
ENSMUST00000113573	ENSMUST00000005600
ENSMUST00000064639	ENSMUST00000165532
ENSMUST00000000175	ENSMUST00000116456
ENSMUST00000114133	ENSMUST00000093389
ENSMUST00000150350	ENSMUST00000152796
ENSMUST00000031736	ENSMUST00000034363
ENSMUST00000163924	ENSMUST00000026558
ENSMUST00000022528	ENSMUST00000019323
ENSMUST00000051341	ENSMUST00000056601
ENSMUST00000196143	ENSMUST00000189378
ENSMUST00000023691	ENSMUST00000023514
ENSMUST00000212824	ENSMUST00000028981
ENSMUST00000116584	ENSMUST00000043296
ENSMUST00000086556	ENSMUST00000147196
ENSMUST00000019076	ENSMUST00000032138
ENSMUST00000057717	ENSMUST00000128353
ENSMUST00000022721	ENSMUST00000064234
ENSMUST00000110164	ENSMUST00000102578
ENSMUST00000045730	ENSMUST00000019231
ENSMUST00000021670	ENSMUST00000176204
ENSMUST00000040135	ENSMUST00000022945
ENSMUST00000111704	ENSMUST00000159027
ENSMUST00000043338	ENSMUST00000179765
ENSMUST00000165242	ENSMUST00000167571
ENSMUST00000030051	ENSMUST00000000940
ENSMUST00000095062	ENSMUST00000018383
ENSMUST00000207442	ENSMUST00000105686
ENSMUST00000164235	ENSMUST00000068071
ENSMUST00000022281	ENSMUST00000114071
ENSMUST00000041053	ENSMUST00000055984
ENSMUST00000049149	ENSMUST00000035350
ENSMUST00000002551	ENSMUST00000027050
ENSMUST00000068421	ENSMUST00000039913
ENSMUST00000020286	ENSMUST00000115124
ENSMUST00000020397	ENSMUST00000080953
ENSMUST00000028100	ENSMUST00000050067
ENSMUST00000043775	ENSMUST00000086216
ENSMUST00000028205	ENSMUST00000073043
ENSMUST00000021170	ENSMUST00000039796
ENSMUST00000113683	ENSMUST00000030164
ENSMUST00000058163	ENSMUST00000173512
ENSMUST00000179968	ENSMUST00000008573
ENSMUST00000003705	ENSMUST00000055316
ENSMUST00000034278	ENSMUST00000002043
ENSMUST00000074556	ENSMUST00000041047
ENSMUST00000013807	ENSMUST00000023143
ENSMUST00000030317	ENSMUST00000084125
ENSMUST00000164052	ENSMUST00000039286
ENSMUST00000110168	ENSMUST00000045487
ENSMUST00000123605	ENSMUST00000046638
ENSMUST00000170588	ENSMUST00000109748
ENSMUST00000065302	ENSMUST00000022563
ENSMUST00000095128	ENSMUST00000005218
ENSMUST00000012587	ENSMUST00000020974
ENSMUST00000101800	ENSMUST00000050584
ENSMUST00000028900	ENSMUST00000076313
ENSMUST00000102869	ENSMUST00000014499
ENSMUST00000109930	ENSMUST00000173287
ENSMUST00000211179	ENSMUST00000112845
ENSMUST00000031731	ENSMUST00000090680
ENSMUST00000090632	ENSMUST00000029692
ENSMUST00000149163	ENSMUST00000057578
ENSMUST00000027040	ENSMUST00000204087
ENSMUST00000034234	ENSMUST00000020163
ENSMUST00000179865	ENSMUST00000018727
ENSMUST00000113607	ENSMUST00000111305
ENSMUST00000031167	ENSMUST00000171683
ENSMUST00000041968	ENSMUST00000022543
ENSMUST00000033283	ENSMUST00000053171
ENSMUST00000044604	ENSMUST00000145152
ENSMUST00000182659	ENSMUST00000029682
ENSMUST00000002678	ENSMUST00000050850
ENSMUST00000116436	ENSMUST00000003320
ENSMUST00000000939	ENSMUST00000027464
ENSMUST00000166487	ENSMUST00000028098
ENSMUST00000030103	ENSMUST00000090840
ENSMUST00000013220	ENSMUST00000006854
ENSMUST00000179139	ENSMUST00000051784
ENSMUST00000098068	ENSMUST00000096224
ENSMUST00000028817	ENSMUST00000076155
ENSMUST00000179804	ENSMUST00000124334
ENSMUST00000002710	ENSMUST00000106923
ENSMUST00000013759	ENSMUST00000080713
ENSMUST00000010597	ENSMUST00000110463
ENSMUST00000021370	ENSMUST00000025804
ENSMUST00000033121	ENSMUST00000072751
